"Rawson et al., Compositional variability in mafic arc magmas over short spatial and temporal scales: evidence for the signature of mantle reactive melt channels ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplementary whole rock analyses new and published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Raw Whole Rock Major data (wt.%),,,,,,,,,,,,,,Normalised Whole Rock Major data (wt%),,,,,,,,,,,Whole Rock Trace data (ug/g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mocho-Choshuenco,130107_05K,Central vent : unit MC5 (Pirehueico),11549-8828,39.979,71.923,this study,62.92,0.78,17.00,4.44,0.14,1.18,3.03,5.28,1.74,0.27,34.40,3.28,100.06,,62.88,0.78,16.99,4.43,0.14,1.18,3.03,5.28,1.74,0.27,,51.00,280.03,6.69,2.02,26.62,1644.45,19.59,59.86,2.53,5.53,1.83,12.34,106.78,26.12,57.93,428.68,753.66,66.12,7.22,1.89,3.56,22.83,7.10,32.10,7.40,1.96,7.79,1.20,7.50,1.60,4.71,0.69,4.70,0.72,6.53,0.35
Mocho-Choshuenco,130107_05Jib,Central vent : unit MC5 (Pirehueico),11549-8828,39.979,71.923,this study,62.80,0.78,17.49,4.36,0.14,1.06,2.97,5.17,1.74,0.25,32.43,3.22,99.96,,62.82,0.78,17.49,4.36,0.14,1.06,2.97,5.17,1.74,0.25,,44.29,235.76,5.67,1.61,22.86,1242.62,15.96,40.70,1.18,3.65,Below DL,9.29,92.89,22.24,46.68,393.61,672.41,52.65,7.33,1.99,3.49,22.35,7.15,33.44,7.89,1.99,8.03,1.28,7.84,1.68,5.00,0.73,4.86,0.78,6.89,0.36
Mocho-Choshuenco,130107_05Jia,Central vent : unit MC5 (Pirehueico),11549-8828,39.979,71.923,this study,62.80,0.78,17.49,4.36,0.14,1.06,2.97,5.17,1.74,0.25,32.43,3.22,99.96,,62.82,0.78,17.49,4.36,0.14,1.06,2.97,5.17,1.74,0.25,,42.84,215.06,5.18,1.50,21.14,1107.01,15.36,35.73,1.06,3.22,Below DL,8.60,86.33,20.12,42.77,372.14,637.80,49.69,7.17,1.82,3.34,23.52,7.19,31.50,7.39,1.92,7.38,1.19,7.60,1.59,4.77,0.68,4.62,0.73,6.20,0.32
Mocho-Choshuenco,130107_05L,Central vent : unit MC5 (Pirehueico),11549-8828,39.979,71.923,this study,64.40,0.77,17.50,4.28,0.15,1.08,2.98,5.42,1.80,0.25,33.25,1.48,100.10,,64.34,0.77,17.48,4.28,0.15,1.08,2.98,5.42,1.80,0.25,,38.85,222.34,5.35,1.57,20.63,1119.20,14.52,38.25,1.15,3.44,Below DL,5.77,81.70,20.74,44.93,326.67,578.68,54.31,7.32,1.93,3.71,23.35,7.31,30.40,7.03,1.96,7.61,1.20,7.39,1.55,4.60,0.67,4.56,0.69,6.67,0.35
Mocho-Choshuenco,130107_05Jii,Central vent : unit MC5 (Pirehueico),11549-8828,39.979,71.923,this study,63.71,0.75,16.39,4.90,0.14,1.69,4.02,5.23,1.76,0.17,40.52,0.95,99.71,,63.90,0.75,16.44,4.91,0.14,1.69,4.03,5.24,1.77,0.17,,36.92,196.97,4.77,1.85,19.24,840.93,17.85,88.91,12.65,9.23,7.26,20.26,88.77,21.99,46.65,358.00,590.93,47.41,6.18,1.77,3.60,21.45,6.48,28.04,6.62,1.71,6.60,1.06,6.64,1.41,4.33,0.63,4.28,0.63,5.72,0.30
Mocho-Choshuenco,130111_04A,Central vent : unit MC9 (Huilo),8422-7982,,,this study,52.98,1.23,22.73,6.86,0.19,1.15,2.73,3.62,1.01,0.28,24.95,7.08,99.87,,53.05,1.23,22.76,6.87,0.19,1.15,2.73,3.63,1.01,0.28,,49.02,258.70,6.28,1.16,24.50,1280.86,24.25,64.01,1.17,5.69,Below DL,5.90,81.91,27.45,25.43,261.69,375.67,60.09,6.81,1.98,2.00,24.97,8.19,37.51,8.85,2.37,9.30,1.49,9.46,1.90,5.72,0.85,5.60,0.87,7.26,0.39
Mocho-Choshuenco,130107_05F,Central vent : unit MC9 (Huilo),8422-7982,39.979,71.923,this study,62.71,0.87,16.85,4.68,0.16,1.18,3.17,4.91,1.56,0.25,33.35,3.70,100.06,,62.67,0.87,16.84,4.67,0.16,1.18,3.17,4.91,1.56,0.25,,42.93,207.75,5.24,1.51,20.59,1211.71,17.84,38.92,0.44,3.48,Below DL,3.71,104.13,23.64,43.98,364.60,668.42,50.45,5.61,1.61,4.73,20.62,6.68,30.74,7.27,1.92,8.01,1.27,7.88,1.62,4.88,0.72,4.96,0.75,6.05,0.33
Mocho-Choshuenco,130107_05E,Central vent : unit MC9 (Huilo),8422-7982,39.979,71.923,this study,63.13,0.84,16.91,4.53,0.15,1.09,3.01,4.99,1.61,0.27,32.19,3.61,100.16,,63.03,0.84,16.88,4.53,0.15,1.09,3.00,4.99,1.60,0.27,,40.60,214.47,5.31,1.51,21.33,1283.38,16.46,33.25,0.20,2.90,Below DL,3.48,98.91,22.61,44.24,342.43,620.90,48.03,5.77,1.64,4.27,21.13,6.68,30.10,7.06,1.83,7.64,1.23,7.37,1.56,4.51,0.69,4.57,0.68,6.08,0.32
Mocho-Choshuenco,130107_05Hi,Central vent : unit MC9 (Huilo),8422-7982,39.979,71.923,this study,63.24,0.88,16.63,4.87,0.18,1.29,3.37,5.08,1.58,0.25,34.44,2.70,100.12,,63.16,0.88,16.61,4.87,0.18,1.29,3.36,5.08,1.57,0.25,,42.36,201.45,5.10,1.51,19.58,1228.73,18.18,47.79,0.15,4.54,Below DL,4.80,110.06,23.08,37.67,366.35,654.67,50.24,5.51,1.60,4.67,21.26,6.75,30.27,7.45,1.84,7.56,1.26,7.65,1.62,4.87,0.68,4.76,0.73,5.83,0.30
Mocho-Choshuenco,130107_05G,Central vent : unit MC9 (Huilo),8422-7982,39.979,71.923,this study,62.22,0.90,16.73,5.05,0.17,1.34,3.42,4.92,1.51,0.25,34.34,3.36,99.89,,62.29,0.90,16.75,5.06,0.17,1.34,3.42,4.93,1.51,0.25,,42.51,201.36,5.09,1.45,19.69,1221.41,19.15,52.85,0.56,4.95,Below DL,4.57,107.59,23.15,42.97,371.62,667.80,49.57,5.42,1.57,4.80,20.70,6.59,31.56,7.85,2.03,8.22,1.29,7.91,1.67,5.09,0.74,4.84,0.72,5.89,0.32
Mocho-Choshuenco,130107_05Hii,Central vent : unit MC9 (Huilo),8422-7982,39.979,71.923,this study,62.80,0.89,16.73,4.88,0.17,1.29,3.35,5.05,1.57,0.24,34.38,3.05,100.05,,62.77,0.89,16.72,4.88,0.17,1.29,3.35,5.05,1.56,0.24,,43.73,206.09,5.24,1.52,20.37,1220.49,19.04,48.69,0.34,4.63,Below DL,4.77,112.19,23.22,44.15,371.87,668.19,51.27,5.40,1.57,4.73,21.25,6.72,28.99,7.05,1.79,7.43,1.17,7.37,1.53,4.61,0.68,4.41,0.68,5.42,0.28
Mocho-Choshuenco,130107_05D,Central vent : unit MC9 (Huilo),8422-7982,39.979,71.923,this study,63.91,0.80,16.31,4.31,0.16,1.11,3.04,5.25,1.68,0.22,33.83,3.27,100.06,,63.87,0.80,16.30,4.30,0.16,1.11,3.04,5.24,1.68,0.22,,41.54,204.73,5.15,1.58,20.36,1078.48,16.70,33.02,0.40,3.09,Below DL,3.60,103.22,22.81,42.59,342.90,609.31,48.92,5.58,1.66,4.12,20.50,6.49,29.99,7.34,1.95,7.64,1.19,7.51,1.56,4.77,0.69,4.66,0.72,5.96,0.30
Mocho-Choshuenco,130126_06Ai,Central vent : unit MC9 (Huilo),8422-7982,39.874,71.956,this study,65.18,0.88,15.63,4.56,0.16,1.19,3.14,4.99,2.35,0.25,34.05,1.65,99.98,,65.19,0.88,15.63,4.57,0.16,1.19,3.14,4.99,2.35,0.25,,48.32,234.00,5.37,2.09,22.53,1232.64,18.57,42.90,0.18,4.64,0.01,8.93,100.90,22.24,58.97,336.69,630.38,53.66,6.52,1.94,4.65,23.00,7.43,33.54,8.21,2.08,8.87,1.39,8.92,1.79,5.35,0.78,5.32,0.81,6.78,0.32
Other SVZ Volcanic Centres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anticura Pfa,PU-05-35,,,41,,"Singer et al., 2008",51.20,0.91,19.57,9.99,0.14,4.77,10.59,3.08,0.60,0.15,48.58,-0.28,100.72,,50.83,0.90,19.43,9.92,0.14,4.74,10.52,3.06,0.60,0.15,,20.8,63,1.4,,,,,269,74,27,,78,69,20,13,494,195,18.7,1.61,0.38,0.7,8.1,2.65,11.3,2.45,1.04,3.08,0.53,3.08,0.64,1.94,0.29,1.8,0.27,1.7,0.1
Antillanca Sapito,PU-05-37,,,40.77,,"Singer et al., 2008",52.38,1.00,17.97,11.05,0.16,4.90,9.42,3.32,0.73,0.18,46.71,0.63,101.74,,51.49,0.98,17.66,10.86,0.16,4.81,9.26,3.27,0.71,0.18,,22,74,1.7,,8,,,287,44,27,,87,77,20,16,464,228,22.1,2.31,0.61,1,9.6,3.04,13.3,2.73,1.14,3.37,0.58,3.44,0.7,2.03,0.31,2.02,0.29,2.1,0.13
Apagado,21-5A,,,41.88,,"Watt et al., 2011 ",,,,,,,,,,,,,,,,,,,,,,,,,,16,66,2.2,,3.2,,32,222,813,46,258,58,91,15,4,437,90,15,1.1,0.2,,7,2.3,10,2.6,0.9,3.0,0.5,3.0,0.6,1.6,0.2,1.6,0.2,1.7,0.1
Apagado,24-6D,,,41.88,,"Watt et al., 2011 ",,,,,,,,,,,,,,,,,,,,,,,,,,15,60,1.6,,2.9,,35,236,679,51,226,65,78,15,5,409,82,14,1.1,0.3,,6,2.1,9,2.5,0.8,2.8,0.4,2.8,0.6,1.5,0.2,1.5,0.2,1.5,0.1
Apagado,04-2A,,,41.88,,"Watt et al., 2011",,,,,,,,,,,,,,,,,,,,,,,,,,15,61,1.9,,4.5,,34,245,833,48,235,64,72,17,5,408,91,15,1.1,0.3,,6,2.2,10,2.7,0.9,2.9,0.5,2.9,0.6,1.7,0.2,1.6,0.2,1.8,0.1
Apagado,13-3C,,,41.88,,"Watt et al., 2011",,,,,,,,,,,,,,,,,,,,,,,,,,17,60,1.7,,4.7,,37,265,457,39,102,88,79,17,5,475,104,16,1.2,0.3,,7,2.4,11,2.9,1.0,3.1,0.5,3.2,0.7,1.8,0.3,1.7,0.3,1.8,0.1
Apagado,21-5C,,,41.88,,"Watt et al., 2011",49.82,0.77,15.49,9.31,0.15,12.24,9.13,2.18,0.47,0.13,72.23,0.21,99.90,,49.87,0.77,15.51,9.32,0.15,12.25,9.14,2.18,0.47,0.13,,17,63,2.1,,3.9,,34,247,870,50,246,59,78,16,4,438,93,15,1.0,0.3,,7,2.3,11,2.8,0.9,3.0,0.5,3.1,0.6,1.8,0.3,1.7,0.3,1.8,0.1
Apagado,14-5B,,,41.88,,"Watt et al., 2011",,,,,,,,,,,,,,,,,,,,,,,,,,16,62,2.1,,4.3,,34,244,724,44,194,56,78,17,7,434,113,15,1.5,0.4,,6,2.3,11,2.7,0.9,3.0,0.5,3.0,0.6,1.7,0.3,1.6,0.3,1.8,0.1
Apagado,23-11E,,,41.88,,"Watt et al., 2011",,,,,,,,,,,,,,,,,,,,,,,,,,17,66,2.2,,4.0,,33,234,648,49,220,56,74,16,6,355,87,16,1.5,0.3,,7,2.5,11,2.8,0.9,3.1,0.5,3.2,0.6,1.7,0.3,1.6,0.2,1.7,0.1
Apagado,13-3A,,,41.88,,"Watt et al., 2011",,,,,,,,,,,,,,,,,,,,,,,,,,17,60,2.2,0.2,3.8,,28,198,812,53,364,52,,,9,350,133,17,,0.6,0.6,7,2.3,10,2.7,0.8,2.7,0.4,2.7,0.6,1.7,0.3,1.5,0.2,1.6,0.2
Apagado,13-1E,,,41.88,,"Watt et al., 2011",,,,,,,,,,,,,,,,,,,,,,,,,,16,58,2.2,0.1,3.7,,29,199,860,53,361,45,,,8,327,132,14,,0.4,0.5,5,2.0,9,2.5,0.8,2.5,0.4,2.6,0.6,1.6,0.2,1.5,0.2,1.6,0.2
Apagado,30-3A,,,41.88,,"Watt et al., 2011",,,,,,,,,,,,,,,,,,,,,,,,,,17,61,1.7,1.1,3.7,,33,236,567,47,235,69,,,4,445,95,14,,0.3,0.2,6,2.2,10,2.6,0.8,2.7,0.4,2.7,0.6,1.7,0.2,1.5,0.2,1.6,0.1
Apagado,30-3B,,,41.88,,"Watt et al., 2011",,,,,,,,,,,,,,,,,,,,,,,,,,18,63,1.6,0.3,3.6,,34,242,452,45,183,80,,,4,467,98,15,,0.3,0.2,6,2.3,11,2.8,0.9,2.8,0.5,2.8,0.6,1.8,0.2,1.6,0.2,1.7,0.1
Apagado,30-3F,,,41.88,,"Watt et al., 2011",,,,,,,,,,,,,,,,,,,,,,,,,,17,62,1.7,0.4,3.5,,33,229,660,48,259,70,,,4,440,92,15,,0.3,0.1,6,2.2,10,2.7,0.8,2.7,0.4,2.8,0.6,1.7,0.2,1.6,0.2,1.7,0.1
Apagado,14-1A,,,41.88,,"Watt et al., 2011",,,,,,,,,,,,,,,,,,,,,,,,,,19,77,2.2,0.5,4.6,,37,259,246,34,88,61,,,5,414,142,18,,0.4,0.3,7,2.6,12,3.0,0.9,3.1,0.5,3.0,0.6,1.9,0.3,1.7,0.3,2.0,0.1
Apagado,15-6A,,,41.88,,"Watt et al., 2011",48.20,0.69,15.08,9.49,0.16,13.44,9.02,1.96,0.42,0.12,73.70,0.50,99.08,,48.65,0.70,15.22,9.58,0.16,13.56,9.10,1.98,0.42,0.12,,16,61,3.2,,,,31,224,759,43,285,73,75,16,3.3,428,,,,,,,,,,,,,,,,,,,,
Apagado,15-6B,,,41.88,,"Watt et al., 2011",49.14,0.66,14.01,9.45,0.15,15.05,8.59,1.92,0.44,0.12,75.91,-0.04,99.49,,49.39,0.67,14.08,9.50,0.15,15.13,8.63,1.93,0.44,0.12,,15,59,2.1,,,,29,208,1027,46,380,63,76,15,3.7,408,90,,,,,,,,,,,,,,,,,,,
Apagado,21-5B,,,41.88,,"Watt et al., 2011",50.69,0.75,15.12,9.09,0.16,11.99,9.28,2.21,0.51,0.13,72.30,-0.23,99.69,,50.85,0.75,15.17,9.12,0.16,12.03,9.31,2.22,0.51,0.13,,18,69,3.4,,,,32,218,810,38,258,50,75,16,5.4,429,92,,,,,,,,,,,,,,,,,,,
Apagado,21-5C,,,41.88,,"Watt et al., 2011",49.82,0.77,15.49,9.31,0.15,12.24,9.13,2.18,0.47,0.13,72.23,0.21,99.90,,49.87,0.77,15.51,9.32,0.15,12.25,9.14,2.18,0.47,0.13,,18,70,4.6,,5.1,,33,228,804,36,249,58,72,17,3.2,427,99,,,,,,,,,,,,,,,,,,,
Apagado,20-3C,,,41.88,,"Watt et al., 2011",49.80,0.89,18.57,8.95,0.14,7.32,9.49,2.59,0.57,0.19,61.81,0.77,99.28,,50.16,0.90,18.71,9.02,0.14,7.37,9.56,2.61,0.57,0.19,,21,86,3.8,,,,31,242,173,27,64,73,80,20,7.2,513,81,,,,,,,,,,,,,,,,,,,
Apagado,20-3D,,,41.88,,"Watt et al., 2011",51.62,0.85,17.57,8.52,0.15,7.24,9.88,2.72,0.64,0.17,62.71,0.16,99.52,,51.87,0.85,17.65,8.56,0.15,7.27,9.93,2.73,0.65,0.17,,19,82,4.0,,5.5,,30,234,193,26,72,65,77,19,8.9,525,133,,,,,,,,,,,,,,,,,,,
Caburgua,120308/06C,,,39.2,,this study,50.00,0.98,17.91,9.34,0.15,8.26,9.38,2.89,0.83,0.27,63.63,0.34,99.60,,50.20,0.98,17.98,9.38,0.15,8.29,9.42,2.90,0.83,0.27,,18.2,111.6,5.40,0.70,8.5,,27.8,211,254,36,123,66,69,18.2,19.7,553,148,33.5,2.8,0.83,0.99,14.4,4.4,19.1,3.7,1.28,4.0,0.56,3.7,0.71,2.0,0.31,1.9,0.29,2.8,0.32
Caburgua,120309/01A,,,39.2,,this study,50.33,1.10,17.66,9.74,0.18,7.77,9.05,3.18,0.67,0.31,61.20,0.61,100.38,,50.14,1.10,17.59,9.71,0.18,7.74,9.01,3.17,0.67,0.31,,17.8,89.8,3.52,0.51,8.0,,28.1,221,234,39,94,80,78,18.2,9.8,669,,34.0,2.4,0.67,0.48,13.8,4.2,19.6,4.4,1.34,4.0,0.61,3.8,0.77,2.0,0.30,2.0,0.35,2.5,0.22
Caburgua,120309/03A,,,39.2,,this study,50.20,1.14,17.94,9.72,0.20,7.15,9.38,3.27,0.67,0.33,59.29,0.42,100.31,,50.05,1.13,17.88,9.69,0.20,7.13,9.36,3.26,0.66,0.32,,19.0,95.2,3.68,0.96,8.5,,29.1,231,162,40,74,94,86,18.9,9.3,694,252,36.7,2.3,0.64,0.46,14.2,4.5,19.5,4.5,1.40,4.1,0.62,3.9,0.75,1.9,0.29,2.0,0.29,2.5,0.19
Caburgua,120309/01A,,,39.2,,this study,50.33,1.10,17.66,9.74,0.18,7.77,9.05,3.18,0.67,0.31,61.20,0.61,100.61,,50.02,1.10,17.55,9.68,0.18,7.72,8.99,3.16,0.67,0.31,,17.8,89.8,3.52,,8.0,,28.1,221,234,39,94,80,78,18.2,9.8,669,242,34.0,2.4,0.67,0.48,13.8,4.2,19.6,4.4,1.34,4.0,0.61,3.8,0.77,2.0,0.30,2.0,0.35,2.5,0.22
Caburgua,120309/03A,,,39.2,,this study,50.20,1.14,17.94,9.72,0.20,7.15,9.38,3.27,0.67,0.33,59.29,0.42,100.42,,49.99,1.13,17.86,9.68,0.20,7.12,9.34,3.25,0.66,0.32,,19.0,95.2,3.68,,8.5,,29.1,231,162,40,74,94,86,18.9,9.3,694,252,36.7,2.3,0.64,0.46,14.2,4.5,19.5,4.5,1.40,4.1,0.62,3.9,0.75,1.9,0.29,2.0,0.29,2.5,0.19
Calbuco,25-5c,,,41.33,,"Watt et al., 2011",,,,,,,,,,,,,,,,,,,,,,,,,,9,115,3.3,0.4,11.8,,32,375,,30,,27,103,29,1,138,36,7,,0.8,,3,1.1,5,1.5,,1.7,0.3,1.9,0.4,1.3,0.2,1.3,0.2,,0.3
Calbuco,25-5n,,,41.33,,"Watt et al., 2011",,,,,,,,,,,,,,,,,,,,,,,,,,17,81,3.7,0.7,9.3,,29,224,,17,,26,78,23,23,130,177,21,,1.2,,10,2.7,12,2.7,,3.1,0.5,3.0,0.6,1.9,0.3,1.9,0.3,,0.3
Calbuco,23-2A,,,41.33,,"Watt et al., 2011",,,,,,,,,,,,,,,,,,,,,,,,,,19,97,2.9,0.7,8.8,,20,192,,22,,33,93,21,16,330,174,18,,0.4,,7,2.5,12,3.1,,3.4,0.6,3.5,0.7,2.2,0.3,2.1,0.3,,0.2
Carran,PU-05-33,,,40.35,,"Singer et al., 2008",51.50,1.12,18.73,12.78,0.18,4.31,8.22,3.73,0.55,0.16,40.01,-0.57,100.71,,51.14,1.11,18.60,12.69,0.18,4.28,8.16,3.70,0.55,0.16,,24.4,63,1.1,,6,,,288,,31,,61,87,22,9,510,192,16.1,0.71,0.22,0.9,6.5,2.39,10.9,2.48,1.19,3.49,0.61,3.61,0.74,2.27,0.34,2.14,0.31,1.9,0.06
Carran-Los Venados VF,FB170812-1,Riñinahue maar,,40.35,,"Bucchi et al., 2015",52.58,1.10,18.26,11.74,0.19,4.10,7.76,3.83,0.55,0.11,40.86,-0.50,99.72,,52.73,1.10,18.31,11.77,0.19,4.11,7.78,3.84,0.55,0.11,,18.3,65.2,1.8,0.3,0.9,,23,236,BDL,23.7,2.3,71,66,17.4,8.7,452.2,185,16.1,0.6,0.3,1,6.8,2.35,11.5,3.04,1.13,3.43,0.57,3.27,0.68,2.1,0.29,2.15,0.33,2.2,BDL
Carran-Los Venados VF,FB101012-1,Pocura maar,,40.35,,"Bucchi et al., 2015",53.27,1.05,18.04,11.27,0.19,3.80,7.45,3.77,0.64,0.24,40.02,0.00,99.72,,53.42,1.05,18.09,11.30,0.19,3.81,7.47,3.78,0.64,0.24,,20.1,70,3.1,0.4,1.8,,22,204,14,22.9,4.4,44,138,16.9,11.6,447.5,202,19.6,1,0.3,1,7.7,2.59,12.1,3.06,1.14,3.51,0.58,3.77,0.84,2.29,0.31,2.13,0.34,2.5,0.2
Carran-Los Venados VF,FB091012-1,Quirrasco,,40.35,,"Bucchi et al., 2015",51.39,1.15,18.49,11.72,0.17,4.62,8.01,3.57,0.47,0.13,43.82,0.00,99.72,,51.53,1.15,18.54,11.75,0.17,4.63,8.03,3.58,0.47,0.13,,15.1,52.4,1.8,0.4,1.4,,25,248,BDL,26.6,11.1,66.6,153,16.1,8.3,424.2,148,13.5,0.5,0.1,0.7,5.6,1.96,11.4,2.49,0.98,3.11,0.49,2.82,0.6,2.14,0.29,1.78,0.27,1.3,0.1
Carran-Los Venados VF,FB091012-2,(unnamed center),,40.35,,"Bucchi et al., 2015",56.21,0.74,18.48,9.66,0.19,2.88,6.58,4.31,0.76,0.22,37.10,-0.30,99.73,,56.36,0.74,18.53,9.69,0.19,2.89,6.60,4.32,0.76,0.22,,19.4,88.3,3.1,0.3,1.5,,12,82,BDL,17.1,1.4,16.6,97,17.7,12.7,502,239,23.9,1.2,0.4,1.3,10,3.2,13.6,3.6,1.19,3.9,0.61,3.39,0.7,2.29,0.32,2.45,0.36,2.6,0.2
Carran-Los Venados VF,FB091012-3,(unnamed center),,40.35,,"Bucchi et al., 2015",54.93,0.77,18.61,10.56,0.19,3.00,6.61,4.22,0.72,0.24,35.98,-0.10,99.75,,55.07,0.77,18.66,10.59,0.19,3.01,6.63,4.23,0.72,0.24,,18.7,83.2,2.8,0.2,1.3,,12,93,BDL,18.7,2.8,17.1,93,15.6,11.4,468,240,22.7,1.3,0.3,0.9,10.2,2.95,14.3,3.49,1.17,3.39,0.59,3.47,0.72,2.15,0.34,2.07,0.34,2.3,0.2
Carran-Los Venados VF,FB091012-5,(unnamed center),,40.35,,"Bucchi et al., 2015",55.67,0.78,18.07,10.00,0.19,3.08,6.78,4.17,0.74,0.20,37.87,0.10,99.78,,55.79,0.78,18.11,10.02,0.19,3.09,6.79,4.18,0.74,0.20,,20.6,87,3.3,0.3,0.9,,13,101,BDL,17.4,0.8,9.7,72,17,11.8,495.4,251,22.8,1.2,0.3,1.1,9.7,3.12,16.5,3.63,1.17,4.09,0.59,3.86,0.77,2.13,0.33,2.25,0.36,2.6,0.2
Carran-Los Venados VF,FB091012-6,Jaramillo,,40.35,,"Bucchi et al., 2015",51.52,1.08,18.54,12.09,0.18,4.44,7.98,3.68,0.47,0.10,42.08,-0.40,99.68,,51.69,1.08,18.60,12.13,0.18,4.45,8.01,3.69,0.47,0.10,,16.6,54.2,1.8,0.2,0.8,,24,251,BDL,28,7.8,48.1,95,16.7,7,459,148,13.5,0.3,0.2,0.9,6,1.89,10.9,2.92,0.99,2.89,0.49,3.71,0.65,1.99,0.29,1.76,0.3,1.5,BDL
Carran-Los Venados VF,FB091012-7,Basal Lava,,40.35,,"Bucchi et al., 2015",51.13,2.40,14.37,13.40,0.25,4.42,7.89,3.60,0.85,1.17,39.49,0.20,99.68,,51.29,2.41,14.42,13.44,0.25,4.43,7.92,3.61,0.85,1.17,,37.8,102.3,4.3,0.5,1.9,,37,224,48,20.6,9.2,38.1,79,16.7,17.6,393.6,291,46,2.4,0.8,0.9,18.5,6.67,32.7,7.7,2.51,9.25,1.27,6.88,1.44,4.36,0.57,4.01,0.5,2.8,0.3
Carran-Los Venados VF,LL141112-4,Los Venados group,,40.35,,"Bucchi et al., 2015",51.82,1.10,18.85,11.34,0.18,4.44,7.40,3.59,0.54,0.17,43.65,0.30,99.73,,51.96,1.10,18.90,11.37,0.18,4.45,7.42,3.60,0.54,0.17,,17.7,67.9,3.1,0.1,1.5,,24,264,BDL,29.7,10.4,58.5,46,21.7,10.2,481.2,163,16.5,0.6,0.1,1.2,6,2.55,13.2,3.6,1.11,3.49,0.5,3.83,0.66,2.17,0.26,2.02,0.28,2.4,BDL
Carran-Los Venados VF,LL141112-3,Los Venados group,,40.35,,"Bucchi et al., 2015",50.91,1.12,19.25,11.51,0.19,4.44,7.23,3.48,0.51,0.18,43.29,1.00,99.82,,51.00,1.12,19.28,11.53,0.19,4.45,7.24,3.49,0.51,0.18,,21.3,69,2.4,0.1,1.6,,25,258,14,31.8,10.7,66.5,47,19.8,9.1,456.1,160,15.6,0.5,0.1,0.8,6,2.57,11.9,3.16,1.07,3.78,0.58,3.97,0.69,2.12,0.27,1.98,0.27,2.1,BDL
Carran-Los Venados VF,LL141112-1,Los Venados group,,40.35,,"Bucchi et al., 2015",51.50,1.09,18.61,11.16,0.18,4.82,8.48,3.50,0.54,0.16,46.08,-0.30,99.74,,51.63,1.09,18.66,11.19,0.18,4.83,8.50,3.51,0.54,0.16,,18.8,68.7,1.9,0.1,0.9,,26,283,21,31,19,31.1,51,19.5,10.6,467.3,174,16.7,0.5,0.2,0.8,5.9,2.47,11.9,3.02,1.12,3.52,0.52,3.65,0.7,1.8,0.25,2.14,0.29,1.8,BDL
Carran-Los Venados VF,FB151112-1,Medialuna,,40.35,,"Bucchi et al., 2015",51.40,1.05,17.31,9.95,0.17,6.83,8.66,3.17,0.88,0.34,57.59,-0.10,99.66,,51.58,1.05,17.37,9.98,0.17,6.85,8.69,3.18,0.88,0.34,,22.9,129.5,5.7,0.3,1,,25,221,198,38,81.5,38.9,62,18.1,18.1,567.7,320,36.1,1.7,0.4,0.8,15.9,4.98,24.8,4.9,1.45,4.92,0.63,3.84,0.84,2.59,0.28,2.23,0.28,3.2,0.2
Carran-Los Venados VF,FB151112-3,Carrán group,,40.35,,"Bucchi et al., 2015",51.88,1.06,18.82,11.58,0.18,4.25,7.93,3.66,0.52,0.19,42.07,-0.30,99.77,,52.00,1.06,18.86,11.61,0.18,4.26,7.95,3.67,0.52,0.19,,21.1,70.5,1.2,BDL,0.8,,22,256,BDL,30.4,6.7,28.7,58,20.1,8.3,512.3,190,16,0.4,BDL,0.8,6.3,2.44,13,3.29,1.09,3.37,0.52,3.46,0.69,2.07,0.26,2.13,0.28,2.2,BDL
Carran-Los Venados VF,FB141112-5,Carrán group,,40.35,,"Bucchi et al., 2015",51.23,1.15,18.71,11.53,0.18,4.51,8.13,3.63,0.50,0.18,43.63,0.00,99.75,,51.36,1.15,18.76,11.56,0.18,4.52,8.15,3.64,0.50,0.18,,21.2,67.1,1.4,0.2,0.9,,28,294,BDL,31.8,8.8,38.3,51,19.2,8.3,480.3,157,13.8,0.2,BDL,0.8,5.4,2.14,14,3.09,1.04,3.37,0.5,3.25,0.69,2.09,0.26,2.07,0.29,1.5,0.1
Carran-Los Venados VF,FB141112-8,Carrán group,,40.35,,"Bucchi et al., 2015",51.43,1.08,18.74,11.18,0.18,4.84,8.38,3.28,0.48,0.15,46.14,0.00,99.74,,51.56,1.08,18.79,11.21,0.18,4.85,8.40,3.29,0.48,0.15,,21.3,63.3,1.8,0.1,1,,27,293,21,34.4,15.7,42.5,65,20.1,9.5,473.6,162,14.8,0.5,0.1,0.8,6.4,2.23,9.1,3.23,1.07,3.44,0.53,3.51,0.71,2.15,0.27,1.85,0.26,2.1,BDL
